순번,ID,제품군,세부 유형,브랜드,정확한 제품명,현재 판정,완제품 제조국,국내 판매 상태,대상 월령,월령 근거,KC 대상 여부,KC 인증번호,확인 플랫폼,확인일,판정·검증 사유,출처 URL,데이터 품질,누적 이력,대시보드 그룹,적용 안전제도,규제 기준 메모,사용자 판정명,재검증 상태,KC 인증상태,KC 인증일자,KC 인증변경일자,KC 인증변경사유,KC 인증구분,KC 인증기관,Safety Korea 상세 URL,KC 품목명,KC 모델명,KC 제조사,KC 수입업체,연관 인증번호,duplicateOf,canonicalProductId
11,TOY-20260729-011,완구,악기 딸랑이,베이비아인슈타인,탬버린 딸랑이,보류,미확인 ❓,구매 기능 확인 불가,0~35개월,Kids2 공식 제조사 페이지에서 동일 제품 Tiny Tambourine의 SKU 12925-000과 권장연령 3~36개월 확인. DB 기준상 3~35개월 대상에 해당,어린이제품 확인 필요,미확인,Kids2 공식 제조사 · 스엔코 공식 수입사 · 국내 판매 페이지,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://www.kids2.com/products/12925-000-baby-einstein-tiny-tambourine-musical-toy-rattle-actions,"https://www.kids2.com/products/12925-000-baby-einstein-tiny-tambourine-musical-toy-rattle-actions
https://www.skytofamily.com/brand/
https://emart.ssg.com/item/itemView.ssg?itemId=1000545545391&siteNo=6001&salestrNo=6005
https://www.momq.co.kr/shop/19293
https://www.momq.co.kr/shop/19293?branduid=19293
https://fallcent.com/product/ZncBML6cu2XPea9AnCMkF7x3DfRVTQUz/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,공식 제조사 SKU 12925-000과 3~36개월 대상은 확인 완료. 동일 SKU의 국내 유효 KC와 시험기관과 완제품 제조국 확인 전 보류,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-011
12,TOY-20260729-012,완구,딸랑이볼,미확인,아기 용품 딸랑이볼,보류,미확인 ❓,판매 페이지 확인,0~35개월,신생아 국민 장난감 상품명,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,https://emart.ssg.com/item/itemView.ssg?itemId=1000590874327&siteNo=6001&salestrNo=6005,추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-012
13,TOY-20260729-013,완구,회전 딸랑이,에릭칼,빙빙 딸랑이 K96746,제외,중국 🇨🇳,공식 수입사 국내 판매 확인,0세 이상,동일 모델 K96746 제품 고시의 사용연령 0세 이상,어린이제품 안전확인 대상,B361R3154-3003,매직캐슬 공식몰 · Safety Korea,2026-08-03,동일 제품의 공식 판매·표시 자료에서 완제품 제조국이 중국으로 확인되어 대한민국 제조 제품 기준에서 제외함.,"https://www.magiccastle.co.kr/product/list.html?cate_no=125
https://www.safetykorea.kr/release/certDetail?certNum=B361R3154-3003
https://kidsmart.or.kr/product/23234-k96746-%EC%97%90%EB%A6%AD%EC%B9%BC-%EB%B9%99%EB%B9%99-%EB%94%B8%EB%9E%91%EC%9D%B4/23234/
https://chingchanmall.com/product/k96746-%EC%97%90%EB%A6%AD%EC%B9%BC-%EB%B9%99%EB%B9%99-%EB%94%B8%EB%9E%91%EC%9D%B4/149261/
https://www.onch3.co.kr/dbcenter_renewal/detail.php?num=9864059",명확한 제외 근거,2026-08-03 엄격 2차 전수검증 · 보류 → 제외,딸랑이·촉감·래틀,어린이제품 안전 특별법상 제품별 KC 확인,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,기준 제외,재검증 완료,기간만료,20130409,,,품질경영 및 공산품안전관리법 대상>자율안전확인 대상,한국건설생활환경시험연구원(KCL),https://www.safetykorea.kr/release/certDetail?certNum=B361R3154-3003,완구,에릭칼 딸랑이,,매직캐슬,B361R3154-3003 (확인 필요),,TOY-20260729-013
14,TOY-20260729-014,완구,딸랑이볼,하늘썬별,베이비 감각발달 딸랑이 볼 HUANHE0142,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,이마트몰 SSG.COM · G마켓 · 다나와,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://m.danawa.com/product/product.html?code=26618714,"https://m.danawa.com/product/product.html?code=26618714
https://emart.ssg.com/item/itemView.ssg?itemId=1000039234436&siteNo=6001&salestrNo=6005
https://www.gmarket.co.kr/n/search?keyword=%EC%8B%A0%EC%83%9D%EC%95%84%EB%B3%BC
https://prod.danawa.com/info/?pcode=26618714",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,,베이비,,,,TOY-20260729-014
15,TOY-20260729-015,완구,치발 딸랑이,치코,코끼리 치발 딸랑이,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,다나와 · G마켓 · 옥션 · GS SHOP · 롯데ON · 11번가 · SSG.COM,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://prod.danawa.com/info/?pcode=20789468,"https://prod.danawa.com/info/?pcode=20789468
https://www.safetykorea.kr/release/certificationsearch
https://emart.ssg.com/item/itemView.ssg?itemId=1000536959326&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,유통채널 판매 정보는 현재 판매 확인에만 사용 · 동일 모델의 공식 KC와 제조국과 월령 확인 전 보류,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,,치코,,,,TOY-20260729-015
16,TOY-20260729-016,완구,흡착 회전 딸랑이,원앤원,조이앤그로우 흡착 회전 딸랑이 3종세트,제외,중국 🇨🇳,GS·SSG 동일 제품 현재 판매 확인,6개월 이상,쿠팡·SSG·GS SHOP·롯데홈쇼핑 동일 제품 고시에서 6개월 이상 반복 확인,어린이제품 확인 필요,CB067R1826-4003,쿠팡 · SSG.COM · GS SHOP · 롯데홈쇼핑,2026-08-15,"Safety Korea 적합 CB067R1826-4003의 유아완구·중국 제조를 GS와 SSG 동일 조이앤그로우 흡착 회전 딸랑이의 같은 KC, HUADA 제조, 원앤원 수입, 중국, 6개월 이상 고시에 대조했다. 중국 완제품이라 대한민국 제조 기준에서 제외한다.","https://www.safetykorea.kr/release/certDetail?certNum=CB067R1826-4003
https://www.gsshop.com/prd/prd.gs?prdid=1060061235
https://www.ssg.com/item/itemView.ssg?itemId=1000607623640
https://www.coupang.com/vp/products/8909481659
https://m.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=2696973397
https://www.safetykorea.kr/release/certificationsearch
https://emart.ssg.com/item/itemView.ssg?itemId=1000825414566&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 · 오염 또는 동일 제품 직접 근거 부족으로 자동 상태 전환 차단 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 · 오염 또는 동일 제품 직접 근거 부족으로 자동 상태 전환 차단 | 2026-08-15 Codex 우선 재검증 · 보류 → 제외 · 동일 제품 중국 제조 확인,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,판매처 KC 번호는 Safety Korea 동일 모델의 인증상태와 인증기관 확인 전 최종 확정 근거로 사용하지 않음,기준 제외,검증 완료,적합,,,,안전확인,,https://www.safetykorea.kr/release/certDetail?certNum=CB067R1826-4003,유아완구,,HUADA,(주)원앤원,,,TOY-20260729-016
17,TOY-20260729-017,완구,소프트 딸랑이/치발기,하늘썬별,우주선 소프트 딸랑이 치발기 HEANHE0104,보류,미확인 ❓,구매 기능 확인 불가,0~35개월,제품명·치발기·노리개·신생아/영아완구 분류는 확인했으나 제조사 또는 Safety Korea 동일 모델의 공식 대상월령은 미확정,어린이제품 확인 필요,미확인,쿠팡 · 이마트몰 SSG.COM · Safety Korea 검색,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://jbang.kr/freeboard/view/98676,"https://jbang.kr/freeboard/view/98676
https://www.coupang.com/vp/products/8354634224
https://emart.ssg.com/item/itemView.ssg?itemId=1000768001575&siteNo=6001&salestrNo=6005
https://www.safetykorea.kr/release/certificationsearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,판매처 표시 KC CB067R1111-4003은 서로 다른 제품에 반복 사용됨. Safety Korea 공식 동일 모델 HEANHE0104 연결 전 재사용 금지,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-017
18,TOY-20260729-018,완구,인형 딸랑이,잉스,곰 토끼 인형 딸랑이 2P 세트,제외,중국 🇨🇳,GS·다나와 동일 2P 제품 판매 확인,0~24개월,쿠팡 상세페이지의 동일 상품 품질표시에서 사용연령 제한없음 확인. Safety Korea 인증상세에는 월령 정보가 없어 0~35개월 조건은 판매 고시와 제품 형태를 참고하되 최종 판정은 보류 유지,어린이제품 확인 필요,CB064R650-6001,다나와 · G마켓 · 옥션 · SSG.COM · 신세계몰 · 이마트몰 · 롯데ON · 11번가 · 쿠팡 · Safety Korea,2026-08-15,"Safety Korea 기간만료 CB064R650-6001의 봉제인형·중국 제조를 GS 동일 곰 토끼 인형 딸랑이 2P의 같은 KC, 비앤비플러스, 중국, 0~24개월 고시와 다나와 동일 제품에 대조했다. 월령은 대상이지만 중국 완제품이라 제외하며 최신 유효 KC 미확인 경고를 유지한다.","https://www.safetykorea.kr/release/certDetail?certNum=CB064R650-6001
https://www.gsshop.com/prd/prd.gs?prdid=27546432
https://prod.danawa.com/info/?pcode=20817125
https://www.coupang.com/
https://emart.ssg.com/item/itemView.ssg?itemId=0000008403143&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 · 오염 또는 동일 제품 직접 근거 부족으로 자동 상태 전환 차단 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 · 오염 또는 동일 제품 직접 근거 부족으로 자동 상태 전환 차단 | 2026-08-15 Codex 우선 재검증 · 보류 → 제외 · 동일 제품 중국 제조·KC 기간만료 확인,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,동일 인증번호의 공식 모델명은 봉제인형이며 제조국 중국과 수입업체 비앤비플러스가 판매 고시와 일치. 인증상태 기간만료로 최신 유효 인증 확인 전 보류,기준 제외,검증 완료,기간만료,,,인증 유효기간 만료,안전확인,,https://www.safetykorea.kr/release/certDetail?certNum=CB064R650-6001,봉제인형,곰 토끼 인형 딸랑이 2P,비앤비플러스,비앤비플러스,,,TOY-20260729-018
19,TOY-20260729-019,완구,흡착 회전 딸랑이,하늘썬별,우주선 흡착 회전 스피너 딸랑이 치발기 3P,보류,미확인 ❓,구매 기능 확인 불가,0~35개월,딸랑이·치발기·영유아완구 판매 분류는 확인했으나 제조사 또는 Safety Korea 동일 모델 HEANHE0108의 공식 대상월령은 미확정,어린이제품 확인 필요,CB067R1111-4003,쿠팡 · G마켓 · 이마트몰 SSG.COM · Safety Korea 검색,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F88450239007,"https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F88450239007
https://search.shopping.naver.com/catalog/88450239007
https://www.coupang.com/vp/products/8354638596
https://www.gmarket.co.kr/n/search?keyword=%ED%9D%A1%EC%B0%A9%EB%94%B8%EB%9E%91%EC%9D%B4
https://www.safetykorea.kr/release/certificationsearch
https://emart.ssg.com/item/itemView.ssg?itemId=1000768001517&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,판매고시 CB067R1111-4003은 여러 상이 제품에 반복 표시됨. Safety Korea에서 HEANHE0108 파생모델 직접 연결과 인증상태를 확인하기 전 최종 KC 번호로 사용하지 않음,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certDetail?certNum=CB067R1111-4003,,,,,,,TOY-20260729-019
20,TOY-20260729-020,완구,피젯 딸랑이,하늘썬별,토끼 아기 딸랑이 삑삑이 피젯 스피너 A,보류,미확인 ❓,판매 페이지 확인,0~35개월,아기 딸랑이 상품명,어린이제품 확인 필요,미확인,쿠팡 · 이마트몰 SSG.COM · Safety Korea 검색,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,"https://www.coupang.com/vp/products/8368582854
https://emart.ssg.com/item/itemView.ssg?itemId=1000768001458&siteNo=6001&salestrNo=6005
https://www.safetykorea.kr/release/certificationsearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,판매처 표시 KC CB067R1111-4002는 Safety Korea 동일 모델 belucQQ001 직접 확인 전 최종 근거로 사용하지 않음,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-020
21,TOY-20260729-021,완구,피젯 딸랑이,하늘썬별,토끼 아기 딸랑이 삑삑이 피젯 스피너 B,보류,미확인 ❓,판매 페이지 확인,0~35개월,아기 딸랑이·피젯 스피너 상품명은 확인했으나 제조사 또는 Safety Korea 동일 모델의 공식 대상월령은 미확정,어린이제품 확인 필요,미확인,쿠팡 · 이마트몰 SSG.COM · Safety Korea 검색,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,"https://www.coupang.com/vp/products/8368583823
https://emart.ssg.com/item/itemView.ssg?itemId=1000768001431&siteNo=6001&salestrNo=6005
https://www.safetykorea.kr/release/certificationsearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,판매처 표시 KC CB067R1111-4002는 서로 다른 제품에 반복 사용됨. Safety Korea 동일 모델 belucQQ008 직접 확인 전 최종 근거로 사용하지 않음,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-021
22,TOY-20260729-022,완구,악기 완구,B. toys / Battat,잼보리 애벌레 탬버린,보류,미확인 ❓,구매 기능 확인 불가,18~35개월,Battat 공식 B. toys 제품 Parum Pum Pum(BX1007)에 포함된 caterpillar tambourine과 동일 형상·구성. 공식 권장연령 18개월 이상,어린이제품 안전확인 대상 여부 공식 확인 필요,미확인,Battat 공식 제조사 · 국내 유통 판매 페이지,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://battat.com/products/parum-pum-pum-bx1007,https://battat.com/products/parum-pum-pum-bx1007,추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-022
23,TOY-20260729-023,완구,원목 딸랑이,마야오가닉,버디래틀,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,Maya Organic 공식 제조사 · 이마트몰 SSG.COM · 쿠팡,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://prod.danawa.com/info/?pcode=26550014,"https://prod.danawa.com/info/?pcode=26550014
https://mayaorganic.com/eco-friendly-wooden-toys/
https://mayaorganic.com/about-us/
https://emart.ssg.com/disp/category.ssg?dispCtgId=6000213980
https://www.coupang.com/vp/products/9454600151
https://www.safetykorea.kr/release/certificationsearch
https://emart.ssg.com/item/itemView.ssg?itemId=1000590790105&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,공식 제조사 페이지에서 Birdie Rattle 제품과 인도 생산은 확인했으나 국내 동일 모델 KC와 시험기관 및 개별 권장월령 확인 전 보류,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,,진영토이,,,,TOY-20260729-023
24,TOY-20260729-024,완구,차임볼,쎄씨,스퀴시 차임볼,제외,중국 🇨🇳,국내 판매 확인,3세 미만,제품 고시정보에 권장사용연령 3세 미만 명시,어린이제품 안전확인 대상,CB062R654-3001,Safety Korea · SSG 상품고시,2026-08-03,동일 제품의 공식 판매·표시 자료에서 완제품 제조국이 중국으로 확인되어 대한민국 제조 제품 기준에서 제외함.,"https://www.safetykorea.kr/release/certDetail?certNum=CB062R654-3001
https://www.momq.co.kr/shop/28746
https://shop.zambus.co.kr/category/%EC%8E%84%EC%94%A8/367/
https://kidikidi.elandmall.co.kr/i/item?itemNo=2309596189
https://shop.zambus.co.kr/product/%EC%8E%84%EC%94%A8-%EC%8A%A4%ED%80%B4%EC%8B%9C-%EC%B0%A8%EC%9E%84%EB%B3%BC/1181/",명확한 제외 근거,2026-08-03 엄격 2차 전수검증 · 보류 → 제외 | 2026-08-15 중복 활성 행 삭제 병합 · TOY-20260729-115 → TOY-20260729-024,딸랑이·촉감·래틀,식품위생법상 기구·용기·포장 기준 우선 확인,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,기준 제외,재검증 완료,적합,20230426,,,어린이제품 특별법 대상>안전확인 대상,한국화학융합시험연구원(KTR),https://www.safetykorea.kr/release/certDetail?certNum=CB062R654-3001,완구,Sassy 유아용품,,잼버스코리아(주),CB062R654-3001 (확인 필요),,TOY-20260729-024
25,TOY-20260729-025,완구,원목 마라카스,클래식월드,우든 마라카스,제외,중국 🇨🇳,롯데·오늘의집 동일 우든 마라카스 판매 확인,10개월 이상,다나와 가격비교에서 음악완구·10개월 이상으로 표기되나 제조사 또는 Safety Korea 동일 모델의 공식 월령 근거는 확인되지 않음,어린이제품 확인 필요,CB063R3414-20008,다나와 · 이마트몰 · 신세계몰 · 옥션 · G마켓 · Safety Korea 검색,2026-08-15,"기존 KC CB063R3414-20004는 다른 퍼즐 모델이어서 폐기했다. Safety Korea CB063R3414-20008의 Classic Music(A) 인증사진에서 동일 마라카스 형상을 확인하고 롯데·오늘의집 동일 우든 마라카스의 같은 KC, 중국 제조, 10개월 이상 고시에 대조했다. KC는 기간만료이며 중국 완제품이므로 제외한다.","https://www.safetykorea.kr/release/certDetail?certNum=CB063R3414-20008
https://office.safetykorea.kr/fileData/certInfo/2020/05/CB063R3414-20008_1.jpg
https://m.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=1832659127
https://store.ohou.se/goods/2216454
https://prod.danawa.com/info/?pcode=21081680
https://m.danawa.com/product/product.html?code=21480269
https://www.safetykorea.kr/release/certificationsearch
https://emart.ssg.com/item/itemView.ssg?itemId=1000169236484&siteNo=6001&salestrNo=6005
https://www.kinderheim.kr/shop/shopdetail.html?branduid=2203179&xcode=077&mcode=005&scode=004&type=X&sort=viewcnt&current_category=077005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 · 오염 또는 동일 제품 직접 근거 부족으로 자동 상태 전환 차단 | 2026-08-15 Codex 우선 재검증 · 보류 → 제외 · 오염 KC 교정 및 중국 제조·기간만료 확인,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,유통채널의 10개월 이상 표기는 현재 판매와 우선순위 판단에만 사용 · 동일 모델 공식 KC와 제조국과 월령 확인 전 보류,기준 제외,검증 완료,기간만료,,,인증 유효기간 만료,안전확인,,https://www.safetykorea.kr/release/certDetail?certNum=CB063R3414-20008,완구,Classic Music(A),WOODENTOYFACTORY,키움하우스,,,TOY-20260729-025
26,TOY-20260729-026,완구,원목 딸랑이,클래식월드,우든 레인보우 래틀,보류,미확인 ❓,구매 기능 확인 불가,0~35개월,베이비완구·신생아 선물 분류와 제품명은 확인했으나 제조사 또는 Safety Korea 동일 모델의 공식 대상월령은 미확정,어린이제품 확인 필요,미확인,LF몰 · 킨더하임 · 이마트몰 SSG.COM · Safety Korea 검색,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://www.lfmall.co.kr/app/product/ENPMXX00042,"https://www.lfmall.co.kr/app/product/ENPMXX00042
https://kinderheim.kr/m/product_detail.html?brand_uid=2203177
https://emart.ssg.com/item/itemView.ssg?itemId=1000053382086&siteNo=6001&salestrNo=6005
https://www.safetykorea.kr/release/certificationsearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 · 오염 또는 동일 제품 직접 근거 부족으로 자동 상태 전환 차단,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,유통채널 판매정보는 현재 판매 확인에만 사용 · 동일 모델 공식 KC와 제조국과 월령 확인 전 보류,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-026
27,TOY-20260729-027,완구,실리콘 딸랑이/치발기,베니르아이,신생아 실리콘볼 베이지,제외,중국 🇨🇳,운영사 공식몰 및 SSG 동일 실리콘볼 판매 확인,0개월 이상,동일 모델명 베니르아이 실리콘볼 상품고시에서 사용연령 0세 이상 확인,어린이제품 확인 필요,CB065R2574-4001,이마트몰 SSG.COM · GS SHOP · 오늘의집 · 갤러리아몰 · 쿠팡 · Safety Korea,2026-08-15,Safety Korea 적합 CB065R2574-4001의 베니르아이 실리콘 장난감·중국 제조·굿줄라이 수입과 인증사진을 운영사 공식몰의 베이지·민트·크림 실리콘볼 및 SSG 동일 상품고시에 대조했다. 0개월 이상이지만 중국 완제품이므로 대한민국 제조 기준에서 제외한다.,"https://www.safetykorea.kr/release/certDetail?certNum=CB065R2574-4001
https://kidzmall.co.kr/product/%EB%B2%A0%EB%8B%88%EB%A5%B4%EC%95%84%EC%9D%B4-%EC%8B%A4%EB%A6%AC%EC%BD%98%EB%B3%BC/1081/
https://m.ssg.com/item/appItemInfoPopup.ssg?infoType=12&itemId=1000634344113&salestrNo=6005&siteNo=6004
https://www.ssg.com/item/itemView.ssg?itemId=1000634344113
https://www.gsshop.com/prd/prd.gs?prdid=1070260500
https://store.ohou.se/goods/3216107
https://www.galleria.co.kr/goods/initDetailGoods.action?goods_no=2411717522
https://emart.ssg.com/item/itemView.ssg?itemId=1000630547941&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 · 오염 또는 동일 제품 직접 근거 부족으로 자동 상태 전환 차단 | 2026-08-15 Codex 우선 재검증 · 보류 → 제외 · 동일 제품 중국 제조 확인,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,동일 모델명 기준 국내 판매 상품고시와 Safety Korea 공식 인증 상세 URL 교차 확인,기준 제외,검증 완료,적합,,,,안전확인,,https://www.safetykorea.kr/release/certDetail?certNum=CB065R2574-4001,완구,베니르아이 실리콘 장난감,,굿줄라이,,,TOY-20260729-027
